,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia
0,Afghanistan,652864.0,35530,54.4,20270.0,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,125.0,125.0,1458.0,3568.0,3.2,26.7,4.0,43.2,4.1,8.2,0.3,3.3,45.1,27.0,21.43,63.5,61.0,91.1,131.6,39.7,70.7,3.7,13.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Algeria,2381741.0,41318,17.3,164779.0,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160.0,161.0,29992.0,47091.0,2.0,70.7,2.8,29.3,9.4,7.2,1.6533333330000002,4.413333333,89.8,82.2,0.05,76.5,74.1,112.7,119.5,101.7,98.1,45.1,28.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Angola,1246700.0,29784,23.9,117955.0,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,175.0,176.0,21011.0,8790.0,3.5,44.1,5.0,46.8,4.0,3.3,0.986666667,4.493333333,88.6,22.5,0.42,63.0,57.4,100.4,156.9,22.7,35.1,8.2,10.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Argentina,2780400.0,44271,16.2,632343.0,2.4,14564.5,6.0,27.8,66.2,2.0,24.8,73.1,6.5,119.0,119.0,57733.0,55610.0,1.0,91.8,1.0,24.9,15.4,4.8,3.8,5.3,96.2,98.3,0.01,79.8,72.2,109.8,110.2,110.3,103.4,102.9,63.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Australia,7692060.0,24451,3.2,1230859.0,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111.0,111.0,189630.0,189406.0,1.5,89.4,1.5,19.0,21.0,9.4,3.4,5.2,100.0,100.0,2.640666667,84.4,80.2,102.1,102.3,133.6,141.3,106.3,75.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Austria,83871.0,8736,106.0,376967.0,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108.0,108.0,145503.0,149299.0,0.6,66.0,0.4,14.1,25.1,11.2,5.2,5.5,100.0,100.0,0.647333333,83.5,78.4,102.2,103.7,97.6,102.4,89.2,74.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Bangladesh,147570.0,164670,1265.0,194466.0,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4.0,141.0,140.0,36031.0,52624.0,1.2,34.3,3.6,28.4,7.3,2.8,0.4,1.9,57.7,62.1,1.24,72.9,69.8,125.1,116.0,67.4,59.8,11.4,15.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Belgium,30528.0,11429,377.5,455107.0,1.5,40277.8,0.7,22.2,77.1,1.2,21.2,77.6,8.3,108.0,107.0,398033.0,372713.0,0.6,97.9,0.5,17.1,24.6,10.6,3.0,6.6,99.5,99.4,0.639333333,83.0,78.0,104.2,104.2,177.7,156.4,85.4,65.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Brazil,8515767.0,209288,25.0,1772591.0,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,135.0,136.0,185235.0,137552.0,0.9,85.7,1.2,21.7,12.6,8.3,1.9,6.0,88.0,51.5,0.06,78.4,71.0,113.8,116.8,102.2,97.2,59.3,42.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cameroon,475650.0,24054,50.9,28416.0,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155.0,160.0,2130.0,4899.0,2.7,54.4,3.6,42.7,4.8,4.1,1.106666667,3.0,61.8,26.8,2.31,57.7,55.1,110.7,123.5,53.5,62.6,15.2,19.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
