country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)"
Afghanistan,SouthernAsia,652864,35530,54.4,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,125,125,1458,3568,3.2,26.7,4,63.5/61.0,43.2/4.1,8.2,0.3,3.3,91.1/131.6,39.7/70.7,3.7/13.3,45.1/27.0,21.43
Albania,SouthernEurope,28748,2930,106.9,11541,2.6,3984.2,22.4,26,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-0.1,57.4,2.2,79.9/75.6,17.4/19.0,5.9,1.3,3.5,111.7/115.5,92.5/98.8,68.1/48.7,95.5/90.2,2.96
Algeria,NorthernAfrica,2381741,41318,17.3,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160,161,29992,47091,2,70.7,2.8,76.5/74.1,29.3/9.4,7.2,...,...,112.7/119.5,101.7/98.1,45.1/28.9,89.8/82.2,0.05
American Samoa,Polynesia,199,56,278.2,-99,-99,-99,-99,-99,-99,...,...,...,...,112,112,-99,-99,-~0.0,87.2,-0.1,77.8/71.1,33.3/9.0,-99,-99,-99,-99,-99,-99,62.5/62.5,-99
Andorra,SouthernEurope,468,77,163.8,2812,0.8,39896.4,0.5,10.8,88.6,-99,-99,-99,-99,-99,-99,100,1355,-1.6,85.1,0.1,-99,14.4/19.0,8.1,3.7,3.3,-99,-99,-99,100.0/100.0,-99
Angola,MiddleAfrica,1246700,29784,23.9,117955,3,4714.1,6.8,51.2,42,4.2,37.6,58.2,6.6,175,176,21011,8790,3.5,44.1,5,63.0/57.4,46.8/4.0,3.3,...,...,100.4/156.9,22.7/35.1,8.2/10.4,88.6/22.5,0.42
Anguilla,Caribbean,91,15,165.7,320,2.9,21879.6,2.3,15.7,82,...,...,...,...,-99,-99,2,154,1.2,100,1.2,.../...,23.3/7.6,-99,-99,...,-99,-99,-99,97.9/...,-99
Antigua and Barbuda,Caribbean,442,102,231.8,1356,4.1,14764.5,1.9,18.3,79.8,...,...,...,...,88,88,61,491,1.1,23.8,-0.9,78.2/73.3,23.9/10.9,5.5,-99,...,94.1/100.0,103.8/101.6,31.1/15.1,91.4/91.4,0.12
Argentina,SouthAmerica,2780400,44271,16.2,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,119,119,57733,55610,1,91.8,1,79.8/72.2,24.9/15.4,4.8,3.8,5.3,109.8/110.2,110.3/103.4,102.9/63.5,96.2/98.3,0.01
Armenia,WesternAsia,29743,2930,102.9,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,135,135,1776,3230,0.3,62.7,-0.1,77.0/70.6,20.0/16.9,4.5,2.8,2.8,98.5/98.5,89.0/88.1,46.9/41.6,96.2/78.2,3.17
Aruba,Caribbean,180,105,584.8,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,...,-99,-99,95,1117,0.5,41.5,-0.3,77.8/72.9,17.9/19.7,-99,-99,6.2,115.4/119.1,112.1/110.3,21.4/9.4,97.7/97.7,-99
