,country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14 / 60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia
0,Afghanistan,SouthernAsia,652864,35530,54.4,20270,-2.4,623.2,23.3,23.3,53.3,61.6,10,28.5,8.6,125,125,1458,3568,3.2,26.7,4,43.2/4.1,8.2,0.3,3.3,45.1/27.0,21.43,63.5,61.0,91.1,131.6,39.7,70.7,3.7,13.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Albania,SouthernEurope,28748,2930,106.9,11541,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,134,134,1962,4669,-0.1,57.4,2.2,17.4/19.0,5.9,1.3,3.5,95.5/90.2,2.96,79.9,75.6,111.7,115.5,92.5,98.8,68.1,48.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Algeria,NorthernAfrica,2381741,41318,17.3,164779,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160,161,29992,47091,2,70.7,2.8,29.3/9.4,7.2,...,...,89.8/82.2,0.05,76.5,74.1,112.7,119.5,101.7,98.1,45.1,28.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,American Samoa,Polynesia,199,56,278.2,-99,-99,-99.0,-99,-99.0,-99.0,...,...,...,...,112,112,-99,-99,-~0.0,87.2,-0.1,33.3/9.0,-99.0,-99,-99,62.5/62.5,-99,77.8,71.1,-99,,-99,,-99,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Andorra,SouthernEurope,468,77,163.8,2812,0.8,39896.4,0.5,10.8,88.6,-99,-99,-99,-99,-99,-99,100,1355,-1.6,85.1,0.1,14.4/19.0,8.1,3.7,3.3,100.0/100.0,-99,-99,,-99,,-99,,-99,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Angola,MiddleAfrica,1246700,29784,23.9,117955,3,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,175,176,21011,8790,3.5,44.1,5,46.8/4.0,3.3,...,...,88.6/22.5,0.42,63.0,57.4,100.4,156.9,22.7,35.1,8.2,10.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Anguilla,Caribbean,91,15,165.7,320,2.9,21879.6,2.3,15.7,82.0,...,...,...,...,-99,-99,2,154,1.2,100.0,1.2,23.3/7.6,-99.0,-99,...,97.9/...,-99,...,...,-99,,-99,,-99,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Antigua and Barbuda,Caribbean,442,102,231.8,1356,4.1,14764.5,1.9,18.3,79.8,...,...,...,...,88,88,61,491,1.1,23.8,-0.9,23.9/10.9,5.5,-99,...,91.4/91.4,0.12,78.2,73.3,94.1,100.0,103.8,101.6,31.1,15.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Argentina,SouthAmerica,2780400,44271,16.2,632343,2.4,14564.5,6,27.8,66.2,2,24.8,73.1,6.5,119,119,57733,55610,1,91.8,1,24.9/15.4,4.8,3.8,5.3,96.2/98.3,0.01,79.8,72.2,109.8,110.2,110.3,103.4,102.9,63.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Armenia,WesternAsia,29743,2930,102.9,10529,3,3489.1,19,28.3,52.8,35,15.7,49.3,16.6,135,135,1776,3230,0.3,62.7,-0.1,20.0/16.9,4.5,2.8,2.8,96.2/78.2,3.17,77.0,70.6,98.5,98.5,89.0,88.1,46.9,41.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Aruba,Caribbean,180,105,584.8,2702,0.1,26005.4,0.5,15.4,84.1,0.6,14,85.1,...,-99,-99,95,1117,0.5,41.5,-0.3,17.9/19.7,-99.0,-99,6.2,97.7/97.7,-99,77.8,72.9,115.4,119.1,112.1,110.3,21.4,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Australia,Oceania,7692060,24451,3.2,1230859,2.4,51352.2,2.5,26.5,71.1,2.7,21.2,76.1,5.5,111,111,189630,189406,1.5,89.4,1.5,19.0/21.0,9.4,3.4,5.2,100.0/100.0,-99,84.4,80.2,102.1,102.3,133.6,141.3,106.3,75.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Austria,WesternEurope,83871,8736,106.0,376967,1,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108,108,145503,149299,0.6,66.0,0.4,14.1/25.1,11.2,5.2,5.5,100.0/100.0,-99,83.5,78.4,102.2,103.7,97.6,102.4,89.2,74.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Azerbaijan,WesternAsia,86600,9828,118.9,53049,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131,136,9143,8532,1.3,54.6,1.6,23.3/10.1,6.0,3.4,2.6,91.6/86.6,0.14,74.6,68.6,105.6,107.4,-99,,27.5,23.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bahamas,Caribbean,13940,395,39.5,8854,-1.7,22817.2,1.6,12.7,85.7,3.9,14.2,81.9,14.7,132,132,365,2904,1.4,82.9,1.5,20.5/13.5,7.7,...,...,92.0/92.0,-99,78.1,72.0,...,...,...,...,-99,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bahrain,WesternAsia,771,1493,1963.9,31126,2.9,22600.2,0.3,40.7,59.0,1,33.4,65.6,1.3,167,167,12892,14749,2,88.8,1.7,19.7/4.6,5.0,0.9,2.7,99.2/99.2,-99,77.5,75.6,101.8,100.6,101.9,102.4,59.4,30.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Bangladesh,SouthernAsia,147570,164670,1265.0,194466,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4,141,140,36031,52624,1.2,34.3,3.6,28.4/7.3,2.8,0.4,1.9,57.7/62.1,1.24,72.9,69.8,125.1,116.0,67.4,59.8,11.4,15.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
