,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,ClusterGMM
0,Afghanistan,652864.0,35530,54.4,20270.0,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,125.0,125.0,1458.0,3568.0,3.2,26.7,4.0,43.2,4.1,8.2,0.3,3.3,45.1,27.0,21.43,63.5,61.0,91.1,131.6,39.7,70.7,3.7,13.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Angola,1246700.0,29784,23.9,117955.0,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,175.0,176.0,21011.0,8790.0,3.5,44.1,5.0,46.8,4.0,3.3,0.986666667,4.493333333,88.6,22.5,0.42,63.0,57.4,100.4,156.9,22.7,35.1,8.2,10.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,Benin,114763.0,11176,99.1,8476.0,5.2,779.1,23.2,24.9,51.9,43.2,10.2,46.6,1.0,152.0,158.0,410.0,2630.0,2.8,44.0,3.7,42.7,5.0,4.6,0.1,4.4,35.6,7.3,5.09,61.4,58.5,123.7,134.2,46.8,66.7,8.4,22.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
23,Bhutan,38394.0,808,21.2,2074.0,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98.0,98.0,616.0,1688.0,1.6,38.6,3.7,26.5,7.3,3.6,0.3,7.4,77.9,33.1,5.26,68.9,68.6,96.9,96.6,87.1,81.4,9.2,12.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,Botswana,582000.0,2292,4.0,14391.0,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110.0,110.0,7321.0,6103.0,1.8,57.4,1.3,31.4,6.4,5.4,0.4,4.153333333,78.5,43.1,0.46,66.1,59.8,105.8,109.4,52.26666667,59.04666667,27.7,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
32,Burkina Faso,272967.0,19193,70.2,11065.0,4.1,611.1,34.5,21.8,43.7,80.0,4.9,15.1,2.9,131.0,134.0,2019.0,3699.0,3.0,29.9,5.9,45.2,3.9,5.0,0.0,4.1,50.4,6.7,9.11,59.3,58.0,86.1,89.9,32.2,35.1,3.8,7.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
33,Burundi,27830.0,10864,423.1,2735.0,-4.1,244.6,36.3,13.9,49.8,91.1,2.6,6.3,1.7,109.0,122.0,123.0,625.0,3.0,12.1,5.7,45.0,4.4,7.5,1.106666667,5.4,43.8,48.6,11.91,58.0,54.2,124.5,123.1,40.5,44.5,2.4,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
34,Cabo Verde,4033.0,546,135.6,1603.0,1.5,3080.2,9.5,19.8,70.7,27.2,11.5,61.3,10.5,98.0,98.0,29.0,485.0,1.2,65.5,2.0,30.2,6.9,4.8,0.3,5.0,81.6,54.3,9.81,74.0,70.1,106.9,112.8,98.3,87.7,25.2,18.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
35,Cambodia,181035.0,16005,90.7,18050.0,7.0,1158.7,28.2,29.4,42.3,42.4,19.6,38.0,0.3,175.0,177.0,13204.0,15313.0,1.6,20.7,2.6,31.3,7.1,5.7,0.2,1.9,88.1,30.5,3.97,69.6,65.5,116.2,117.1,74.28,74.26,11.8,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
36,Cameroon,475650.0,24054,50.9,28416.0,5.8,1217.3,22.7,28.3,49.1,61.8,8.7,29.5,4.6,155.0,160.0,2130.0,4899.0,2.7,54.4,3.6,42.7,4.8,4.1,1.106666667,3.0,61.8,26.8,2.31,57.7,55.1,110.7,123.5,53.5,62.6,15.2,19.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
