,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,clusters
0,Afghanistan,652864.0,35530,54.4,20270.0,-2.4,623.2,23.3,23.3,53.3,61.6,10.0,28.5,8.6,125.0,125.0,1458.0,3568.0,3.2,26.7,4.0,43.2,4.1,8.2,0.3,3.3,45.1,27.0,21.43,63.5,61.0,91.1,131.6,39.7,70.7,3.7,13.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Albania,28748.0,2930,106.9,11541.0,2.6,3984.2,22.4,26.0,51.7,41.4,18.3,40.3,15.8,134.0,134.0,1962.0,4669.0,-0.1,57.4,2.2,17.4,19.0,5.9,1.3,3.5,95.5,90.2,2.96,79.9,75.6,111.7,115.5,92.5,98.8,68.1,48.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,American Samoa,199.0,56,278.2,1512.333333,2.4866666669999997,29491.96,5.2533333330000005,15.41333333,79.32,8.486666667,17.28666667,73.12666667,9.173333332999999,112.0,112.0,52.33333333,445.8,0.0,87.2,-0.1,33.3,9.0,7.586666667,2.02,4.8,62.5,62.5,12.714,77.8,71.1,102.05333329999999,106.36,97.67333333,96.37333333,50.08666667,34.67333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Andorra,468.0,77,163.8,2812.0,0.8,39896.4,0.5,10.8,88.6,3.5333333330000003,17.63333333,76.59333333,11.26666667,105.53333329999998,106.2,100.0,1355.0,-1.6,85.1,0.1,14.4,19.0,8.1,3.7,3.3,100.0,100.0,7.870666667,80.77333333,75.23333333,101.82,105.32,99.74,97.43333333,54.03333333,34.76666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Anguilla,91.0,15,165.7,320.0,2.9,21879.6,2.3,15.7,82.0,6.213333333,17.28,74.26666667,10.76,97.13333333,97.13333333,2.0,154.0,1.2,100.0,1.2,23.3,7.6,6.84,1.72,5.4,97.9,90.56,11.446,79.29333333,73.68666667,103.2066667,107.22,99.60666667,97.77333333,49.17333333,32.17333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Antigua and Barbuda,442.0,102,231.8,1356.0,4.1,14764.5,1.9,18.3,79.8,8.446666667,17.80666667,71.5,11.66666667,88.0,88.0,61.0,491.0,1.1,23.8,-0.9,23.9,10.9,5.5,1.38,5.353333333,91.4,91.4,0.12,78.2,73.3,94.1,100.0,103.8,101.6,31.1,15.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Armenia,29743.0,2930,102.9,10529.0,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,135.0,135.0,1776.0,3230.0,0.3,62.7,-0.1,20.0,16.9,4.5,2.8,2.8,96.2,78.2,3.17,77.0,70.6,98.5,98.5,89.0,88.1,46.9,41.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Aruba,180.0,105,584.8,2702.0,0.1,26005.4,0.5,15.4,84.1,0.6,14.0,85.1,10.52666667,101.7333333,101.7333333,95.0,1117.0,0.5,41.5,-0.3,17.9,19.7,6.613333333,1.766666667,6.2,97.7,97.7,6.417333332999999,77.8,72.9,115.4,119.1,112.1,110.3,21.4,9.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Austria,83871.0,8736,106.0,376967.0,1.0,44117.7,1.3,28.3,70.4,4.7,25.6,69.7,6.2,108.0,108.0,145503.0,149299.0,0.6,66.0,0.4,14.1,25.1,11.2,5.2,5.5,100.0,100.0,0.647333333,83.5,78.4,102.2,103.7,97.6,102.4,89.2,74.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Azerbaijan,86600.0,9828,118.9,53049.0,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131.0,136.0,9143.0,8532.0,1.3,54.6,1.6,23.3,10.1,6.0,3.4,2.6,91.6,86.6,0.14,74.6,68.6,105.6,107.4,92.08666667,89.76,27.5,23.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
