,country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,clusters
5,Angola,0.07291391175445715,0.02112994815241544,0.0009164526351863901,0.006537922997192101,0.5716911764705882,0.026983601155731448,0.096045197740113,0.621870882740448,0.34260429835651074,0.04400440044004401,0.6833013435700576,0.6313868613138687,0.20257234726688106,0.8545454545454545,0.8606060606060606,0.009915615099899433,0.003906812585012846,0.651685393258427,0.441,0.6391752577319588,0.9121447028423773,0.05161290322580646,0.11538461538461536,0.1315555556,0.3037681159130435,0.8636363636363635,0.20185375901132854,0.006612090680100755,0.3445378151260503,0.2831858407079646,0.529126213592233,1.0,0.09409701928696668,0.1582234559333796,0.06719717064544649,0.0831858407079646,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
21,Benin,0.006711975017788374,0.007928253386268761,0.003812134911069438,0.0004681033553136218,0.6121323529411764,0.0037473287144229642,0.327683615819209,0.2753623188405797,0.46776232616940583,0.47304730473047313,0.15738963531669864,0.4902676399026764,0.022508038585209007,0.7151515151515152,0.7515151515151515,0.00019348922902093034,0.0011686210360676726,0.5730337078651686,0.44,0.5051546391752577,0.806201550387597,0.08387096774193549,0.19871794871794868,0.013333333333333334,0.2956521739130435,0.22966507177033496,0.045314109165808455,0.08013224181360201,0.2997198879551819,0.31563421828908567,0.7553398058252427,0.7810993249758919,0.23495032144944475,0.3775156141568356,0.06896551724137931,0.1893805309734513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27,Botswana,0.034038579161862564,0.0016253806271088799,0.00015017501164818999,0.0007960473736341327,0.5110294117647058,0.03670622442755214,0.03389830508474576,0.38735177865612647,0.6232616940581542,0.28052805280528054,0.2476007677543186,0.645985401459854,0.5884244372990355,0.4606060606060606,0.4606060606060606,0.0034549625503956854,0.0027124098752700407,0.46067415730337086,0.574,0.2577319587628866,0.5142118863049094,0.12903225806451613,0.25,0.05333333333333334,0.2742028985217391,0.742822966507177,0.41400617919670446,0.007241813602015114,0.4313725490196074,0.35398230088495586,0.5815533980582523,0.5419479267116684,0.266900448100526,0.3244043488549619,0.23961096374889473,0.16106194690265485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
36,Cameroon,0.027818642918109846,0.017064722926167564,0.0019561257927507825,0.0015736323029570682,0.6231617647058822,0.006334910565447456,0.3206214689265537,0.3201581027667984,0.4323640960809103,0.6776677667766777,0.12859884836852203,0.2822384428223844,0.1382636655948553,0.7333333333333334,0.7636363636363637,0.0010052001410111747,0.002177217890703484,0.5617977528089888,0.544,0.4948453608247423,0.806201550387597,0.07741935483870967,0.16666666666666663,0.1475555556,0.17391304347826086,0.5430622009569377,0.24613800205973224,0.03636649874055416,0.196078431372549,0.21533923303834834,0.6291262135922329,0.6779170684667309,0.2741087083576855,0.3490631505898682,0.12908930150309456,0.1654867256637168,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
39,Central African Republic,0.036435550172807196,0.0033046804718782903,0.00028494745799912975,8.870844113488035e-05,0.6047794117647058,0.0011142781727255173,0.4929378531073446,0.2740447957839262,0.3223767383059418,0.7920792079207922,0.04414587332053742,0.20802919708029197,0.21221864951768493,0.48484848484848486,0.47878787878787876,0.00010052001410111747,6.489869580292133e-05,0.30337078651685395,0.4,0.3917525773195877,0.8191214470284238,0.10000000000000002,0.17307692307692307,0.13333333333333333,0.017391304347826084,0.32535885167464124,0.04428424304840371,0.5077141057934509,0.008403361344537563,0.0,0.329126213592233,0.5216972034715525,0.03039158386908241,0.07425399028452463,0.007957559681697611,0.02743362831858407,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
40,Chad,0.07509542206843907,0.010570295051634745,0.00045052503494457,0.0005530971304759791,0.6378676470588235,0.0033570065776070833,0.3587570621468926,0.46113306982872204,0.2616940581542352,0.8404840484048405,0.0,0.18369829683698294,0.17684887459807075,0.6787878787878788,0.7090909090909091,0.0009391306481747595,0.0006089809126712482,0.6292134831460675,0.225,0.4742268041237114,0.9198966408268734,0.05161290322580646,0.1346153846153846,0.0,0.15652173913043477,0.17942583732057416,0.03707518022657055,0.09036523929471033,0.0588235294117645,0.07964601769911517,0.40873786407766993,0.5920925747348119,0.04324956165984805,0.12768910478834145,0.004420866489832007,0.0415929203539823,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
48,Congo,0.020002051672434705,0.0037317774328209114,0.0005891481226198222,0.00046904588250067987,0.5386029411764706,0.010000749938144865,0.06638418079096045,0.8695652173913043,0.13147914032869787,0.4455445544554456,0.4568138195777351,0.33090024330900236,0.3601286173633441,0.4363636363636364,0.4363636363636364,0.0011986893700321052,0.004352657734946614,0.550561797752809,0.654,0.45360824742268047,0.7958656330749354,0.09032258064516131,0.23717948717948717,0.20088888893333331,0.3136231884347826,0.04306220095693783,0.02780638516992791,0.01653022670025189,0.37535014005602196,0.3893805309734515,0.6689320388349513,0.5188042430086789,0.2571595558153127,0.3199167244968772,0.0680813439434129,0.08938053097345132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56,Democratic Republic of the Congo,0.13714026573252017,0.05770704270118253,0.0013785295941038979,0.002081100029024293,0.645220588235294,0.0020177469614218826,0.2810734463276836,0.5296442687747036,0.2654867256637168,0.7161716171617163,0.07485604606525911,0.2749391727493917,0.10610932475884247,0.4242424242424242,0.4242424242424242,0.0024082330138873354,0.002624841087097606,0.6292134831460675,0.425,0.5360824742268042,0.8992248062015502,0.07419354838709678,0.17948717948717946,0.22044444440000002,0.10434782608695653,0.14473684210526316,0.26570545829042225,0.12610201511335012,0.2464985994397757,0.26253687315634244,0.5427184466019417,0.5670202507232401,0.15604909409701928,0.28660652324774466,0.03183023872679045,0.07168141592920353,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
64,Equatorial Guinea,0.0016406361213892934,0.0008988901154722613,0.0017366392372649665,0.0007639460064984478,0.3805147058823529,0.09565903914618067,0.01694915254237288,0.9104084321475625,0.13653603034134007,0.20462046204620463,0.30710172744721687,0.6922141119221411,0.23794212218649524,0.503030303030303,0.5090909090909091,0.0035125373941531333,0.0024248108603077798,0.7303370786516855,0.399,0.443298969072165,0.6640826873385013,0.06451612903225808,0.1474358974358974,0.22933333333333333,0.36579710147826083,0.7595693779904307,0.7013388259526261,0.002361460957178841,0.2156862745098036,0.2271386430678468,0.3135922330097088,0.25843780135004824,0.40264952267679716,0.43085820034698125,0.2875921014146772,0.21758112097345134,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
75,Gabon,0.015654705166834072,0.0014359539019067537,0.00030035002329637997,0.0007596769127688317,0.588235294117647,0.046154854550382554,0.05367231638418079,0.6653491436100132,0.33881163084702914,0.176017601760176,0.32821497120921306,0.7116788321167883,0.5723472668810291,0.38181818181818183,0.35151515151515156,0.0013454580291187132,0.0013019745205942231,0.6292134831460675,0.872,0.40206185567010316,0.6304909560723513,0.12903225806451613,0.12179487179487178,0.17688888893333332,0.14782608695652175,0.3229665071770335,0.2945417095777549,0.011492443324937028,0.42296918767506964,0.4513274336283186,0.912621359223301,0.875602700096432,0.3519968829339567,0.3874161462179043,0.22782198647214852,0.1947492625663717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
