,country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Population age distribution (0-14  years, %)","Population age distribution (60+ years, %)",Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),"Pop. using improved drinking water (urban, %)","Pop. using improved drinking water (rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Life expectancy at birth (Female),Life expectancy at birth (Male),Education: Primary gross enrol. ratio (Female),Education: Primary gross enrol. ratio (Male),Education: Secondary gross enrol. ratio (Female),Education: Secondary gross enrol. ratio (Male),Education: Tertiary gross enrol. ratio (Female),Education: Tertiary gross enrol. ratio (Male),SouthernAsia,SouthernEurope,NorthernAfrica,Polynesia,MiddleAfrica,Caribbean,SouthAmerica,WesternAsia,Oceania,WesternEurope,EasternEurope,CentralAmerica,WesternAfrica,NorthernAmerica,SouthernAfrica,South-easternAsia,EasternAfrica,NorthernEurope,EasternAsia,Micronesia,CentralAsia,Melanesia,Day5,Day25,Day50,ClusterGMM
2,Algeria,2381741.0,41318,17.3,164779.0,3.8,4154.1,12.2,37.3,50.5,10.8,34.5,54.7,11.4,160.0,161.0,29992.0,47091.0,2.0,70.7,2.8,29.3,9.4,7.2,1.6533333330000002,4.413333333,89.8,82.2,0.05,76.5,74.1,112.7,119.5,101.7,98.1,45.1,28.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,409,2811,2
4,Angola,1246700.0,29784,23.9,117955.0,3.0,4714.1,6.8,51.2,42.0,4.2,37.6,58.2,6.6,175.0,176.0,21011.0,8790.0,3.5,44.1,5.0,46.8,4.0,3.3,0.986666667,4.493333333,88.6,22.5,0.42,63.0,57.4,100.4,156.9,22.7,35.1,8.2,10.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,19,43,2
8,Armenia,29743.0,2930,102.9,10529.0,3.0,3489.1,19.0,28.3,52.8,35.0,15.7,49.3,16.6,135.0,135.0,1776.0,3230.0,0.3,62.7,-0.1,20.0,16.9,4.5,2.8,2.8,96.2,78.2,3.17,77.0,70.6,98.5,98.5,89.0,88.1,46.9,41.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,822,2066,2
12,Azerbaijan,86600.0,9828,118.9,53049.0,0.7,5438.7,6.7,49.9,43.4,36.7,14.2,49.1,5.2,131.0,136.0,9143.0,8532.0,1.3,54.6,1.6,23.3,10.1,6.0,3.4,2.6,91.6,86.6,0.14,74.6,68.6,105.6,107.4,92.08666667,89.76,27.5,23.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,209,1548,2
14,Bahrain,771.0,1493,1963.9,31126.0,2.9,22600.2,0.3,40.7,59.0,1.0,33.4,65.6,1.3,167.0,167.0,12892.0,14749.0,2.0,88.8,1.7,19.7,4.6,5.0,0.9,2.7,99.2,99.2,2.898666667,77.5,75.6,101.8,100.6,101.9,102.4,59.4,30.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,466,1973,2
15,Bangladesh,147570.0,164670,1265.0,194466.0,6.6,1207.9,15.5,28.1,56.3,40.6,19.1,40.3,4.0,141.0,140.0,36031.0,52624.0,1.2,34.3,3.6,28.4,7.3,2.8,0.4,1.9,57.7,62.1,1.24,72.9,69.8,125.1,116.0,67.4,59.8,11.4,15.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,330,10143,2
19,Belize,22966.0,375,16.4,1721.0,1.2,4789.4,14.6,18.5,66.9,16.1,15.9,67.9,11.5,97.0,97.0,246.0,952.0,2.2,44.0,1.9,31.4,6.2,5.8,1.146666667,6.4,93.5,88.2,1.68,72.7,67.2,110.4,115.8,81.8,79.8,28.7,17.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,18,18,2
22,Bhutan,38394.0,808,21.2,2074.0,5.2,2677.1,17.2,43.9,38.8,56.6,9.7,33.7,2.4,98.0,98.0,616.0,1688.0,1.6,38.6,3.7,26.5,7.3,3.6,0.3,7.4,77.9,33.1,5.26,68.9,68.6,96.9,96.6,87.1,81.4,9.2,12.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,2
23,Bolivia (Plurinational State of),1098581.0,11052,10.2,32998.0,4.8,3076.8,12.6,31.0,56.5,29.5,21.1,49.4,3.8,142.0,143.0,6969.0,8374.0,1.6,68.5,2.3,31.6,9.5,6.3,0.5,7.3,60.8,27.5,2.38,70.2,65.3,95.7,98.5,85.7,87.1,18.24666667,18.44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,157,1110,2
25,Botswana,582000.0,2292,4.0,14391.0,-0.3,6360.6,2.4,33.4,64.2,25.7,14.9,59.4,18.6,110.0,110.0,7321.0,6103.0,1.8,57.4,1.3,31.4,6.4,5.4,0.4,4.153333333,78.5,43.1,0.46,66.1,59.8,105.8,109.4,52.26666667,59.04666667,27.7,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,22,25,2
26,Brazil,8515767.0,209288,25.0,1772591.0,-3.8,8528.3,5.2,22.7,72.0,15.2,21.5,63.2,12.4,135.0,136.0,185235.0,137552.0,0.9,85.7,1.2,21.7,12.6,8.3,1.9,6.0,88.0,51.5,0.06,78.4,71.0,113.8,116.8,102.2,97.2,59.3,42.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2433,38654,2
28,Brunei Darussalam,5765.0,429,81.3,12930.0,-0.6,30552.7,1.1,60.2,38.7,0.6,19.4,80.1,2.1,157.0,157.0,4875.0,2679.0,1.4,77.2,1.8,23.0,8.0,2.6,1.5,4.4,93.42,91.03333333,3.289333333,78.4,75.1,108.2,108.1,96.3,95.9,38.6,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,135,138,2
